id	code	name	sentiment
1	AL	Alabama	2
2	AK	Alaska	3
4	AZ	Arizona	3
5	AR	Arkansas	6
6	CA	California	4
8	CO	Colorado	10
9	CT	Connecticut	10
10	DE	Delaware	2
11	DC	District of Columbia	4
12	FL	Florida	2
13	GA	Georgia	2
15	HI	Hawaii	3
16	ID	Idaho	4
17	IL	Illinois	10
18	IN	Indiana	6
19	IA	Iowa	1
20	KS	Kansas	10
21	KY	Kentucky	5
22	LA	Louisiana	6
23	ME	Maine	5
24	MD	Maryland	1
25	MA	Massachusetts	8
26	MI	Michigan	6
27	MN	Minnesota	10
28	MS	Mississippi	2
29	MO	Missouri	6
30	MT	Montana	5
31	NE	Nebraska	5
32	NV	Nevada	8
33	NH	New Hampshire	8
34	NJ	New Jersey	5
35	NM	New Mexico	1
36	NY	New York	7
37	NC	North Carolina	1
38	ND	North Dakota	3
39	OH	Ohio	7
40	OK	Oklahoma	9
41	OR	Oregon	7
42	PA	Pennsylvania	2
44	RI	Rhode Island	5
45	SC	South Carolina	7
46	SD	South Dakota	2
47	TN	Tennessee	2
48	TX	Texas	7
49	UT	Utah	4
50	VT	Vermont	8
51	VA	Virginia	2
53	WA	Washington	6
54	WV	West Virginia	9
55	WI	Wisconsin	9
56	WY	Wyoming	7
60	AS	America Samoa	5
64	FM	Federated States of Micronesia	3
66	GU	Guam	4
68	MH	Marshall Islands	5
69	MP	Northern Mariana Islands	4
70	PW	Palau	10
72	PR	Puerto Rico	7
74	UM	U.S. Minor Outlying Islands	9
78	VI	Virgin Islands of the United States	8
